task,phase,arm,seed,samples,lr,prompts,group,batch,steps,initial_accuracy,final_accuracy,sample_auc,active_phase_seconds,job_seconds,output_tokens,mean_response_length,truncation_fraction,mixed_group_fraction,mean_training_reward,distinct_training_prompts,prompt_exposures,peak_allocated_gib,generation_seconds,training_seconds,weight_sync_seconds
countdown,confirm,group-4,1,32768,3e-06,128,4,128,4,0.01171875,0.1875,0.170654296875,628.2893531322479,821.8546023368835,628567,19.182342529296875,0.0008544921875,0.10302734375,0.181396484375,8192,8192,52.34289216995239,396.05445647239685,220.94797372817993,11.286922931671143
countdown,confirm,group-4,2,32768,3e-06,128,4,128,4,0.009765625,0.21484375,0.1705322265625,628.4020340442657,827.5261826515198,622877,19.008697509765625,0.000244140625,0.0791015625,0.16851806640625,8192,8192,52.61462593078613,393.89285492897034,223.30836486816406,11.200814247131348
countdown,confirm,group-4,3,32768,3e-06,128,4,128,4,0.01171875,0.205078125,0.1885986328125,622.546441078186,822.2063720226288,572193,17.461944580078125,0.00042724609375,0.1214599609375,0.193115234375,8192,8192,52.62707805633545,391.69242787361145,219.598477602005,11.25553560256958
countdown,confirm,onpolicy-large,1,32768,3e-06,64,8,512,1,0.01171875,0.23828125,0.169921875,626.5885918140411,819.0840709209442,655709,20.010650634765625,0.00054931640625,0.185791015625,0.173553466796875,4096,4096,52.526774406433105,396.9182960987091,218.37123250961304,11.299063205718994
countdown,confirm,onpolicy-large,2,32768,3e-06,64,8,512,1,0.01171875,0.234375,0.175048828125,623.9893374443054,818.2676613330841,572344,17.466552734375,0.000396728515625,0.153076171875,0.164764404296875,4096,4096,52.5311336517334,397.00398993492126,215.71019077301025,11.275156736373901
countdown,confirm,onpolicy-large,3,32768,3e-06,64,8,512,1,0.013671875,0.1953125,0.1878662109375,621.9644820690155,824.6862914562225,584600,17.840576171875,0.000640869140625,0.130859375,0.180328369140625,4096,4096,52.860472679138184,388.61461114883423,222.09279322624207,11.257077693939209
countdown,confirm,onpolicy-small,1,32768,3e-06,16,8,128,1,0.013671875,0.0,0.0792236328125,1268.2392506599426,1589.1387372016907,10274990,313.56781005859375,0.07635498046875,0.1181640625,0.069091796875,4096,4096,55.4178524017334,773.0071425437927,458.8052361011505,36.42687201499939
countdown,confirm,onpolicy-small,2,32768,3e-06,16,8,128,1,0.01171875,0.12890625,0.126220703125,687.9971063137054,979.0625483989716,830488,25.344482421875,0.001800537109375,0.11474609375,0.11346435546875,4096,4096,52.99696493148804,400.0392153263092,251.73159003257751,36.226300954818726
countdown,confirm,onpolicy-small,3,32768,3e-06,16,8,128,1,0.01171875,0.1484375,0.191162109375,616.9338898658752,907.3342063426971,491991,15.014373779296875,0.000518798828125,0.112548828125,0.186614990234375,4096,4096,52.39077663421631,335.28866934776306,245.13490509986877,36.51031541824341
countdown,lr-followup,onpolicy-small-lr1e6,0,16384,1e-06,16,8,128,1,0.01171875,0.193359375,0.156494140625,348.87328267097473,537.6593432426453,320950,19.5892333984375,0.00152587890625,0.22412109375,0.1563720703125,2048,2048,52.53884220123291,204.74524807929993,124.86098432540894,19.26705026626587
