run,dataset,algorithm,seed,updates,baseline_accuracy,final_accuracy,best_accuracy,final_truncation_fraction,final_response_tokens,zero_gradient_step_fraction,mean_zero_variance_group_fraction,conditional_gated_fraction,mean_behavior_approx_kl,mean_initial_engine_logprob_abs_diff,max_log_ratio_guard_fraction,training_generated_tokens,wall_seconds,peak_gpu_memory_gib
gsm8k_ppo_s42,gsm8k,ppo,42,256,0.953125,0.953125,0.95703125,0.005859375,190.384765625,0.76171875,0.9296875,0.010767124339812048,0.004648512704704899,0.004866774566835375,0.0,820742,639.0067167282104,151.705078125
dapo_ppo_s42,dapo,ppo,42,320,0.609375,0.640625,0.66796875,0.2890625,2431.33984375,0.23125,0.709375,0.0031756307401347617,0.0007506174723403092,0.005186225492070662,0.0,13192051,2992.849595785141,172.708984375
gsm8k_cispo_s42,gsm8k,cispo,42,256,0.953125,0.9375,0.955078125,0.01953125,219.412109375,0.68359375,0.9140625,0.0,0.011922896363273594,0.00486131175830451,0.0,868723,639.2359066009521,159.76953125
dapo_cispo_s42,dapo,cispo,42,320,0.625,0.712890625,0.712890625,0.12890625,2059.99609375,0.190625,0.6640625,0.0,0.0021314575925316603,0.006360751003376209,0.00022644927958026528,12213106,2789.9067940711975,173.302734375
gsm8k_glm5_s42,gsm8k,glm5,42,256,0.955078125,0.9453125,0.955078125,0.009765625,117.990234375,0.6953125,0.9130859375,0.017531466200585436,0.025303799555700834,0.005065690791070665,0.0,717506,598.4718492031097,152.65234375
dapo_glm5_s42,dapo,glm5,42,320,0.607421875,0.734375,0.7578125,0.10546875,1867.328125,0.246875,0.71328125,0.0013794941082890197,0.003198859867097781,0.005898543699731818,0.020344501361250877,12846720,2871.211310863495,176.80859375
gsm8k_dppo_s42,gsm8k,dppo,42,256,0.953125,0.935546875,0.955078125,0.0078125,201.64453125,0.73828125,0.9228515625,0.003686805524092604,0.006534258742135535,0.004338504422776168,0.0,1072419,649.5232758522034,153.33203125
dapo_dppo_s42,dapo,dppo,42,320,0.623046875,0.6875,0.708984375,0.201171875,2320.2265625,0.278125,0.73984375,0.0006665558584035142,0.0014204731220161192,0.005835463774565142,0.0,12822847,2911.814950942993,173.435546875
gsm8k_sapo_s42,gsm8k,sapo,42,256,0.95703125,0.927734375,0.95703125,0.0078125,222.615234375,0.68359375,0.9052734375,0.0,0.02335843748326738,0.004085353722985019,0.0097881518304348,690257,598.5471980571747,160.62890625
dapo_sapo_s42,dapo,sapo,42,320,0.62109375,0.748046875,0.748046875,0.13671875,2129.263671875,0.278125,0.71171875,1.7111013462984061e-06,0.0017371033332437946,0.005291936323192204,0.0,13103619,2961.86718249321,173.509765625
gsm8k_gspo_s42,gsm8k,gspo,42,256,0.951171875,0.94140625,0.962890625,0.017578125,294.724609375,0.69921875,0.908203125,0.39095744680851063,0.003183310848612564,0.004792902005647193,0.0,1084769,669.8397510051727,152.6484375
dapo_gspo_s42,dapo,gspo,42,320,0.61328125,0.685546875,0.685546875,0.232421875,2284.697265625,0.259375,0.709375,0.34139784946236557,0.0005497035568168939,0.005660346487275092,0.0,13423104,2992.6645805835724,177.841796875
