dataset,surrogate,seed,baseline_accuracy,final_accuracy,final_mean_tokens,final_truncation_fraction,optimizer_steps,wall_seconds
countdown,ppo,42,0.4921875,0.5625,776.86328125,0.4375,512,1972.0616393089294
countdown,ppo,43,0.50390625,0.625,705.6640625,0.37109375,512,1982.0343539714813
countdown,dppo,42,0.484375,0.54296875,622.8203125,0.40234375,512,1944.6052086353302
countdown,dppo,43,0.4921875,0.48046875,711.1171875,0.484375,512,1970.6886479854584
countdown,glm5,42,0.4921875,0.171875,924.6640625,0.80859375,512,1977.6553964614868
countdown,glm5,43,0.50390625,0.04296875,1020.32421875,0.99609375,512,2036.7929997444153
deepmath,ppo,42,0.72265625,0.828125,1153.99609375,0.1328125,448,2117.0919120311737
deepmath,ppo,43,0.734375,0.83984375,1114.14453125,0.09765625,448,2129.908688545227
deepmath,dppo,42,0.7265625,0.8359375,938.73828125,0.08984375,448,2070.1609828472137
deepmath,dppo,43,0.6796875,0.828125,827.046875,0.09765625,448,2042.409006357193
deepmath,glm5,42,0.7109375,0.91015625,896.23828125,0.046875,448,1998.473078250885
deepmath,glm5,43,0.69921875,0.8984375,739.57421875,0.04296875,448,2040.5684416294098
