dataset,trained_surrogate,seed,diagnostic_surrogate,conditional_gated_fraction,conditional_mean_gradient_weight
countdown,ppo,42,ppo,0.014981870152122673,0.9844473153956024
countdown,ppo,42,dapo,0.012470500169075395,0.9875533709883207
countdown,ppo,42,cispo,0.0,1.0002492307892694
countdown,ppo,42,glm5,0.0023677803533927533,0.9989145358323086
countdown,ppo,42,sapo,2.6093806853698875e-06,0.9974591525701376
countdown,ppo,42,dppo,0.0035068413897474987,0.9959097947427619
countdown,ppo,43,ppo,0.015168062956811825,0.9843429898026734
countdown,ppo,43,dapo,0.012838780474201275,0.9872228881818416
countdown,ppo,43,cispo,0.0,1.0001107161752196
countdown,ppo,43,glm5,0.002502947120289893,0.9987034722575991
countdown,ppo,43,sapo,0.0,0.9971818656433286
countdown,ppo,43,dppo,0.004149987781389795,0.995242957211542
countdown,dppo,42,ppo,0.022766102115830356,0.9755902590597062
countdown,dppo,42,dapo,0.01928315102478357,0.9798976966270485
countdown,dppo,42,cispo,0.0,1.0004857742875592
countdown,dppo,42,glm5,0.0053761232553016245,0.9972985942762094
countdown,dppo,42,sapo,5.29019295602591e-06,0.9947101882568321
countdown,dppo,42,dppo,0.007824067121454075,0.9913698693463333
countdown,dppo,43,ppo,0.020483870550499616,0.9790656801083641
countdown,dppo,43,dapo,0.017621413581139493,0.9826059294820397
countdown,dppo,43,cispo,0.0,1.0002915167130566
countdown,dppo,43,glm5,0.004915033945120249,0.9975257847828888
countdown,dppo,43,sapo,2.550475905711158e-06,0.9952915953516395
countdown,dppo,43,dppo,0.008022676025816876,0.9915412870628574
countdown,glm5,42,ppo,0.045759855492917056,0.9504123065401526
countdown,glm5,42,dapo,0.04208364318414276,0.9549598253825131
countdown,glm5,42,cispo,0.0,0.9975296604282716
countdown,glm5,42,glm5,0.025416246991645654,0.9809389046009849
countdown,glm5,42,sapo,9.680224046700032e-05,0.9755043173537535
countdown,glm5,42,dppo,0.029312634031178758,0.9674353259451249
countdown,glm5,43,ppo,0.043597528471798486,0.9620768637337944
countdown,glm5,43,dapo,0.04107838013661425,0.9651925366792719
countdown,glm5,43,cispo,0.0,0.9989999570108358
countdown,glm5,43,glm5,0.019479614881473248,0.9862480527686275
countdown,glm5,43,sapo,5.413997123430962e-05,0.9813171699954875
countdown,glm5,43,dppo,0.024425495046709184,0.9781050659622608
deepmath,ppo,42,ppo,0.004102615362780326,0.9957253309813413
deepmath,ppo,42,dapo,0.0029105201979554526,0.9971997503899346
deepmath,ppo,42,cispo,0.0,1.0000137043885948
deepmath,ppo,42,glm5,0.00022978868826402135,0.9998763920354449
deepmath,ppo,42,sapo,7.085444781859982e-07,0.9994834365923543
deepmath,ppo,42,dppo,0.0004181949015752959,0.9995384381329717
deepmath,ppo,43,ppo,0.0044573054518391225,0.9953024196921543
deepmath,ppo,43,dapo,0.003174820546236148,0.9968866334911204
deepmath,ppo,43,cispo,0.0,1.0000051692808318
deepmath,ppo,43,glm5,0.00025368208521870793,0.9998659370351134
deepmath,ppo,43,sapo,0.0,0.9994633803723759
deepmath,ppo,43,dppo,0.00044270382880830277,0.9994867043376463
deepmath,dppo,42,ppo,0.010441289813386344,0.9887160467945673
deepmath,dppo,42,dapo,0.008150849242643697,0.9915473108587701
deepmath,dppo,42,cispo,0.0,1.0000087521434609
deepmath,dppo,42,glm5,0.0012676389003876336,0.9992293501211926
deepmath,dppo,42,sapo,6.00730500022692e-07,0.9981865458239138
deepmath,dppo,42,dppo,0.0015461324422895678,0.9982541324266421
deepmath,dppo,43,ppo,0.007999172245653914,0.9913272411206514
deepmath,dppo,43,dapo,0.006008891767797934,0.9937858848498135
deepmath,dppo,43,cispo,0.0,1.0002098435600753
deepmath,dppo,43,glm5,0.0009084083264065245,0.9996827313798735
deepmath,dppo,43,sapo,4.713139478764479e-07,0.9988352021195254
deepmath,dppo,43,dppo,0.0015451564754918577,0.9983746397909511
deepmath,glm5,42,ppo,0.02162266550190292,0.9756192550724276
deepmath,glm5,42,dapo,0.018123626943950623,0.9799446915196884
deepmath,glm5,42,cispo,0.0,0.9991524555170496
deepmath,glm5,42,glm5,0.006378611213749723,0.9952439850914601
deepmath,glm5,42,sapo,1.730916648348253e-05,0.9928618852595827
deepmath,glm5,42,dppo,0.0061637261573903885,0.9921854648980671
deepmath,glm5,43,ppo,0.011138263718313618,0.9884932168528565
deepmath,glm5,43,dapo,0.00912012100049581,0.990986872687299
deepmath,glm5,43,cispo,0.0,1.0001886963334858
deepmath,glm5,43,glm5,0.0025692000443739696,0.9986777229186816
deepmath,glm5,43,sapo,2.773967857619859e-06,0.997694822967562
deepmath,glm5,43,dppo,0.003560780562048989,0.9961567750343909
